id,year,AGDP,AGHE,AAFE,K,T
11,2007,8228.00,124.663028837466,202.530458591282,2016.48170124716,0.950753927371342
11,2008,9272.956,163.696772915132,286.9031,2249.02804704307,1.37002095523463
11,2009,10459.89437,207.3185,405.281195532051,2879.31158554073,1.40939009907957
11,2010,11913.81969,283.4569,400.6915,3987.2353966121,2.00339822850866
11,2011,13391.13333,325.3728,422.4524,3449.24644166597,1.90126049458484
11,2012,14864.15799,358.5767,496.6529,3729.4155581401,2.02647252962636
11,2013,16305.98132,431.7084,597.5339,4091.0132078804,1.90911300832393
11,2014,17855.04954,541.166748547347,632.223292881987,4441.5841727309,1.24099032786517
11,2015,19479.85905,620.13845530549,761.376689287626,4952.07983291615,1.2719719887894
11,2016,21139.32876,651.2870,797.6680,5273.52143493922,2.20524814277824
